ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,marital_status,current_timestamp,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
a144527468,john,levi,price,m,42,10/9/1976, 17  fellows  street ,latham,2615,act, 02  6056  5534 ,john.price@yahoo.com,married-de-facto,2018-7-31t05:40+00:00,ict-technician,151700.0,4a5c0a2b6c603e7707ffbfe21283fdc5,23,2018-04-12t09:19+00:00
g138427370,lisa,c,harbison,f,32,13/1/1986, 28  cross  street , new    town ,7008,tas, 03  6264  7962 ,lisa.harbison@gmail.com,not-married,2018-7-31t20:33+00:00,art-media-professional,59600.0,f1b2ffe8ddf545b554b64bb6f1ea52a3,12,2017-06-27t24:18+00:00
h111031090,leo,edward,lee,m,21,28/9/1997, 176  prospect  street ,wynnum,4178,qld, 07  0001  1542 ,leo.lee@aol.com,married-de-facto,2018-7-31t17:41+00:00,machinary-driver,10000.0,524dc031d9966e496f01bbeab716324a,2,2018-03-25t04:44+00:00
d176341340,shimeka,cox,baldwin,f,21,24/6/1997, 172  mollison  street ,kyneton,3444,vic, 03  2041  5698 ,shimeka.baldwin@hotmail.com,married,2018-7-31t05:27+00:00,other-technician,50500.0,3dcdded76f11f7c6f0f36ae8bef68394,2,2018-02-20t20:52+00:00
f158712976,michele,laverne,ware,f,18,17/11/2000, 9  ellerker  avenue ,ararat,3377,vic, 03  9996  9669 ,ware.michele@aol.com,n/a,2018-7-31t02:26+00:00,casual-worker,0,d43ce42b5993d1049bf2f179cecbe5cf,1,2018-06-04t09:37+00:00
c194744831,paul,wayne,toussaint,m,36,16/3/1982, 22  thornley  close , ferntree    gully ,3156,vic, 03  5971  4829 ,paul90@aol.com,not-married,2018-7-31t11:15+00:00,legal-professional,135700.0,bd37fa4070c609a17e8d9f590d26e650,15,2016-08-25t22:58+00:00
d118818703,frank,ryan,welch,m,48,9/12/1970, 51  o'sullivan  street ,woodend,4305,qld, 07  2622  2939 ,clrnapmrob@aol.com,married,2018-7-31t04:12+00:00,health-support-worker,75500.0,8af56f1ef44dfa3afc5dad075e004c89,29,2018-01-14t03:29+00:00
i130913978,jennifer,leuonia,carter,f,31,29/5/1987, 4  parrot  court , deception    bay ,4508,qld, 07  3343  5574 ,jennifer.carter@mail.com,not-married,2018-7-31t21:14+00:00,health-professional,67200.0,9fdca88d502d0bfbda1e987ebd070959,10,2016-02-03t09:51+00:00
b104895930,lauren,dotson,peace,f,22,29/1/1996, 88  richmond  street ,tumut,2720,nsw, 02  3936  8035 ,peace.lauren@mail.com.au,not-married,2018-7-31t12:12+00:00,engineering-worker,21200.0,25fe3a8985f6bc08fbafd8cf641deecd,3,2018-02-02t19:05+00:00
i196292758,jennifer,elaine,harris,f,46,10/3/1972, 403  wellington  street , clifton    hill ,3068,vic, 03  6016  1077 ,jennifer.harris@gmail.com,not-married,2018-7-31t01:04+00:00,other-technician,90600.0,60955e0fd8545a3bf9be42deff3e7dbf,27,2018-01-12t23:47+00:00
