ssn,first_name,middle_name,last_name,gender,current_age,street_address,email,marital_status,current_timestamp,street_address_med,state_med,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,deceased_status
a144527468,john,levi,price,m,42, 17  fellows  street ,john.price@yahoo.com,married-de-facto,2018-7-31t05:40+00:00, 17    fellows    street ,act,59,14,78,142,1,pregnancy,0
g138427370,lisa,c,harbison,f,32, 28  cross  street ,lisa.harbison@gmail.com,not-married,2018-7-31t20:33+00:00, 28    cross    street ,tas,74,32,66,65,,increased-lower-back-arthritis-pain,0
h111031090,leo,edward,lee,m,21, 176  prospect  street ,leo.lee@aol.com,married-de-facto,2018-7-31t17:41+00:00, 176    prospect    street ,qld,78,27,71,126,,pregnancy,0
d176341340,shimeka,cox,baldwin,f,21, 172  mollison  street ,shimeka.baldwin@hotmail.com,married,2018-7-31t05:27+00:00, 172    mollison    street ,vic,74,27,73,179,,pulled-right-rotator-cuff--right-rotator-cuff-pain-&-swelling,0
f158712976,michele,laverne,ware,f,18, 9  ellerker  avenue ,ware.michele@aol.com,n/a,2018-7-31t02:26+00:00, 9    ellerker    avenue ,vic,57,24,72,166,,ankle-swelling,0
c194744831,paul,wayne,toussaint,m,36, 22  thornley  close ,paul90@aol.com,not-married,2018-7-31t11:15+00:00, 22    thornley    close ,vic,99,35,69,220,,lesion-(lower-left-lip),0
d118818703,frank,ryan,welch,m,48, 51  o'sullivan  street ,clrnapmrob@aol.com,married,2018-7-31t04:12+00:00, 51    o'sullivan    street ,qld,112,34,72,198,,copd-exacerbation,0
i130913978,jennifer,leuonia,carter,f,31, 4  parrot  court ,jennifer.carter@mail.com,not-married,2018-7-31t21:14+00:00, 4    parrot    court ,qld,60,22,70,257,,drowiness,0
b104895930,lauren,dotson,peace,f,22, 88  richmond  street ,peace.lauren@mail.com.au,not-married,2018-7-31t12:12+00:00, 88    richmond    street ,nsw,123,53,66,228,,depressed-mood,0
i196292758,jennifer,elaine,harris,f,46, 403  wellington  street ,jennifer.harris@gmail.com,not-married,2018-7-31t01:04+00:00, 403    wellington    street ,vic,108,42,77,142,,dizziness,0
g142097789,maggie,prince,kinsland,f,29, 47  the  parkway ,maggie.kinsland@mail.com.au,married-de-facto,2018-7-31t21:40+00:00, 47    the    parkway ,nsw,81,32,74,233,,coxofemoral-post-contusion-pain,0
b194446874,ernesto,lee,musser,m,27, 4  oldhome  court ,ernesto.musser@gmail.com,married,2018-7-31t13:42+00:00, 4    oldhome    court ,vic,71,21,73,162,,diverticulitis,0
c186830045,william,michael,contreras,m,42, 30  fairlea  road ,william22@hotmail.com,married,2018-7-31t05:06+00:00, 30    fairlea    road ,nsw,66,18,81,103,0,fall,0
a193715164,simon,hansford,satrazemis,m,29, 129  middleton  street ,simon.satrazemis@gmail.com,married,2018-7-31t06:18+00:00, 129    middleton    street ,qld,125,36,77,147,0,worsening-of-dry-mouth,0
i142913278,jean,brooks,damrau,f,28, 8  jersey  avenue ,damrau.jean@hotmail.com,not-married,2018-7-31t01:05+00:00, 8    jersey    avenue ,nsw,83,26,69,90,,chest-pain,0
f198678788,shelia,purifoy,nielsen,f,31, 25  ternau  street ,nielsen25@mail.com.au,married,2018-7-31t15:49+00:00, 25    ternau    street ,nt,46,16,75,202,,headache-post-lp,0
c148977373,erin,ann,ward,f,43, 23  curedale  mews ,ward.erin@aol.com,married,2018-7-31t06:52+00:00, 23    curedale    mews ,wa,142,54,78,189,,ulcer-caterization,0
d105794748,steven,edison,king,m,38, 139  aquarius  drive ,steven10@aol.com,divorced,2018-7-31t03:41+00:00, 139    aquarius    drive ,vic,144,43,74,174,,headache,0
f100777872,jashuben,souther,hines,f,32, 3  joseph  street ,hines.jashuben@mail.com.au,not-married,2018-7-31t15:05+00:00, 3    joseph    street ,sa,90,28,71,136,,extraction-of-tooth,0
a143929901,scott,donavan,reed,m,37, 51  short  street ,scott2@aol.com,married,2018-7-31t18:16+00:00, 51    short    street ,nsw,97,35,73,160,0,insomnia,0
d132104073,joann,ester,hayden,f,35, 27  victoria  avenue ,dfhlqcsppq@aol.com,not-married,2018-7-31t05:47+00:00, 27    victoria    avenue ,nsw,47,18,80,153,,tearing-due-to-frustration-of-dementia,0
i185813615,miguel,stennis,vastis,m,24, 20  brand  street ,ghjoomptoe@hotmail.com,married,2018-7-31t09:30+00:00, 20    brand    street ,qld,56,15,71,168,0,loose-stools,0
